time_days,model_velocity_ms,truth_velocity_ms
1.777673084049911552e+02,-5.272368891440750716e-01,2.019568739713726302e-01
1.779688836959576008e+02,-8.907354721853826263e-01,-1.454044790616757510e-01
1.781704589869240749e+02,-1.251573700243423737e+00,-4.907872530684000978e-01
1.783720342778905206e+02,-1.609707876113399827e+00,-8.341454398157797101e-01
1.785736095688569662e+02,-1.965096067426765458e+00,-1.175434298933835997e+00
1.787751848598234119e+02,-2.317698090360154950e+00,-1.514610357614285086e+00
1.789767601507898576e+02,-2.667475492080776611e+00,-1.851631409245690918e+00
1.791783354417563032e+02,-3.014391531997498319e+00,-2.186456511015406612e+00
1.793799107327227773e+02,-3.358411161887859819e+00,-2.519045980510957961e+00
1.795814860236892230e+02,-3.699501004968551499e+00,-2.849361391353874673e+00
1.797830613146556686e+02,-4.037629333977852397e+00,-3.177365567898975840e+00
1.799846366056221143e+02,-4.372766048337123124e+00,-3.503022579032519346e+00
1.801862118965885600e+02,-4.704882650456193360e+00,-3.826297731103446509e+00
1.803877871875550341e+02,-5.033952221248663150e+00,-4.147157560022444400e+00
1.805893624785214797e+02,-5.359949394918764654e+00,-4.465569822561530344e+00
1.807909377694879254e+02,-5.682850333083276695e+00,-4.781503486890946064e+00
1.809925130604543710e+02,-6.002632698287850843e+00,-5.094928722385159148e+00
1.811940883514208167e+02,-6.319275626976777360e+00,-5.405816888734534587e+00
1.813956636423872624e+02,-6.632759701974416444e+00,-5.714140524395336485e+00
1.815972389333537365e+02,-6.943066924532468320e+00,-6.019873334412917387e+00
1.817988142243201821e+02,-7.250180685998190100e+00,-6.322990177651023558e+00
1.820003895152866278e+02,-7.554085739155064871e+00,-6.623467053461808973e+00
1.822019648062530734e+02,-7.854768169287382307e+00,-6.921281087828081269e+00
1.824035400972195191e+02,-8.152215365015024418e+00,-7.216410519011498437e+00
1.826051153881859648e+02,-8.446415988948734466e+00,-7.508834682738443789e+00
1.828066906791524389e+02,-8.737359948206417926e+00,-7.798533996954951419e+00
1.830082659701188845e+02,-9.025038364838520621e+00,-8.085489946182002896e+00
1.832098412610853302e+02,-9.309443546199105413e+00,-8.369685065501991872e+00
1.834114165520517759e+02,-9.590568955305707632e+00,-8.651102924205343214e+00
1.836129918430182215e+02,-9.868409181222792981e+00,-8.929728109126937596e+00
1.838145671339846672e+02,-1.014295990950654414e+01,-9.205546207701079453e+00
1.840161424249511413e+02,-1.041421789274392928e+01,-9.478543790762349985e+00
1.842177177159175869e+02,-1.068218092121830942e+01,-9.748708395119511039e+00
1.844192930068840326e+02,-1.094684779373358730e+01,-1.001602850592912120e+01
1.846208682978504783e+02,-1.120821828862178648e+01,-1.028049353889385209e+01
1.848224435888169239e+02,-1.146629313496673319e+01,-1.054209382231064396e+01
1.850240188797833980e+02,-1.172107398406334511e+01,-1.080082057899284642e+01
1.852255941707498437e+02,-1.197256338114133101e+01,-1.105666590808882255e+01
1.854271694617162893e+02,-1.222076473737201141e+01,-1.130962276682054046e+01
1.856287447526827350e+02,-1.246568230218078099e+01,-1.155968495216251668e+01
1.858303200436491807e+02,-1.270732113588375611e+01,-1.180684708248299586e+01
1.860318953346156263e+02,-1.294568708266626089e+01,-1.205110457916646638e+01
1.862334706255821004e+02,-1.318078674391994909e+01,-1.229245364823736253e+01
1.864350459165485461e+02,-1.341262745195289696e+01,-1.253089126200275416e+01
1.866366212075149917e+02,-1.364121724408720482e+01,-1.276641514073234518e+01
1.868381964984814374e+02,-1.386656483715470856e+01,-1.299902373439174852e+01
1.870397717894478831e+02,-1.408867960240494099e+01,-1.322871620444541918e+01
1.872413470804143287e+02,-1.430757154083145011e+01,-1.345549240574505490e+01
1.874429223713808028e+02,-1.452325125892952684e+01,-1.367935286851664500e+01
1.876444976623472485e+02,-1.473572994488898402e+01,-1.390029878046120260e+01
1.878460729533136941e+02,-1.494501934523242781e+01,-1.411833196898167841e+01
1.880476482442801398e+02,-1.515113174190199530e+01,-1.433345488354795449e+01
1.882492235352465855e+02,-1.535407992980049841e+01,-1.454567057821204301e+01
1.884507988262130311e+02,-1.555387719479139719e+01,-1.475498269428429765e+01
1.886523741171795052e+02,-1.575053729215953169e+01,-1.496139544318048564e+01
1.888539494081459509e+02,-1.594407442553526977e+01,-1.516491358944959345e+01
1.890555246991123965e+02,-1.613450322628397871e+01,-1.536554243399116615e+01
1.892570999900788422e+02,-1.632183873336106572e+01,-1.556328779747058988e+01
1.894586752810452879e+02,-1.650609637363238136e+01,-1.575815600393949723e+01
1.896602505720117620e+02,-1.668729194266042981e+01,-1.595015386466890916e+01
1.898618258629782076e+02,-1.686544158595365062e+01,-1.613928866220155101e+01
1.900634011539446533e+02,-1.704056178067865446e+01,-1.632556813462878864e+01
1.902649764449110990e+02,-1.721266931783161880e+01,-1.650900046009829580e+01
1.904665517358775446e+02,-1.738178128486703145e+01,-1.668959424155664806e+01
1.906681270268439903e+02,-1.754791504877994512e+01,-1.686735849173190971e+01
1.908697023178104644e+02,-1.771108823963816192e+01,-1.704230261835947857e+01
1.910712776087769100e+02,-1.787131873456041120e+01,-1.721443640965500421e+01
1.912728528997433557e+02,-1.802862464213555427e+01,-1.738377002003739236e+01
1.914744281907098014e+02,-1.818302428727889719e+01,-1.755031395610433975e+01
1.916760034816762470e+02,-1.833453619651879052e+01,-1.771407906286240674e+01
1.918775787726426927e+02,-1.848317908371042506e+01,-1.787507651021372013e+01
1.920791540636091668e+02,-1.862897183616827945e+01,-1.803331777970067407e+01
1.922807293545756124e+02,-1.877193350121423521e+01,-1.818881465150908028e+01
1.924823046455420581e+02,-1.891208327313290738e+01,-1.834157919173147633e+01
